"route","page_type","primary_keyword","h1","coverage_status"
"/","home","toilet repair services Greater Houston","Houston Toilet Repair Services","independent request site"
"/services/","directory","toilet repair services","Toilet Repair Service Directory","independent request site"
"/services/toilet-repair/","service","toilet repair Houston","Toilet Repair in Houston, TX","pre-launch"
"/services/running-toilet-repair/","service","running toilet repair Houston","Running Toilet Repair in Houston, TX","pre-launch"
"/services/toilet-leak-repair/","service","toilet leak repair Houston","Toilet Leak Repair in Houston, TX","pre-launch"
"/services/toilet-flange-repair/","service","toilet flange repair Houston","Toilet Flange Repair in Houston, TX","pre-launch"
"/services/toilet-replacement-installation/","service","toilet installation Houston","Toilet Installation and Replacement in Houston, TX","pre-launch"
"/services/commercial-toilet-repair/","service","commercial toilet repair Houston","Commercial Toilet Repair in Houston, TX","pre-launch"
"/service-areas/","directory","Greater Houston toilet repair service areas","Toilet Repair Service Areas","intended pending verification"
"/service-areas/houston/","area","toilet repair Houston","Toilet Repair Services in Houston","intended pending verification"
"/service-areas/houston/toilet-repair/","city_service","toilet repair Houston Houston","Toilet Repair in Houston","intended pending verification"
"/service-areas/houston/running-toilet-repair/","city_service","running toilet repair Houston Houston","Running Toilet Repair in Houston","intended pending verification"
"/service-areas/houston/toilet-leak-repair/","city_service","toilet leak repair Houston Houston","Toilet Leak Repair in Houston","intended pending verification"
"/service-areas/houston/toilet-flange-repair/","city_service","toilet flange repair Houston Houston","Toilet Flange Repair in Houston","intended pending verification"
"/service-areas/houston/toilet-replacement-installation/","city_service","toilet installation Houston Houston","Toilet Replacement and Installation in Houston","intended pending verification"
"/service-areas/houston/commercial-toilet-repair/","city_service","commercial toilet repair Houston Houston","Commercial Toilet Repair in Houston","intended pending verification"
"/service-areas/downtown-houston/","area","toilet repair Downtown Houston","Toilet Repair Services in Downtown Houston","intended pending verification"
"/service-areas/downtown-houston/toilet-repair/","city_service","toilet repair Houston Downtown Houston","Toilet Repair in Downtown Houston","intended pending verification"
"/service-areas/downtown-houston/running-toilet-repair/","city_service","running toilet repair Houston Downtown Houston","Running Toilet Repair in Downtown Houston","intended pending verification"
"/service-areas/downtown-houston/toilet-leak-repair/","city_service","toilet leak repair Houston Downtown Houston","Toilet Leak Repair in Downtown Houston","intended pending verification"
"/service-areas/downtown-houston/toilet-flange-repair/","city_service","toilet flange repair Houston Downtown Houston","Toilet Flange Repair in Downtown Houston","intended pending verification"
"/service-areas/downtown-houston/toilet-replacement-installation/","city_service","toilet installation Houston Downtown Houston","Toilet Replacement and Installation in Downtown Houston","intended pending verification"
"/service-areas/downtown-houston/commercial-toilet-repair/","city_service","commercial toilet repair Houston Downtown Houston","Commercial Toilet Repair in Downtown Houston","intended pending verification"
"/service-areas/midtown-houston/","area","toilet repair Midtown Houston","Toilet Repair Services in Midtown Houston","intended pending verification"
"/service-areas/midtown-houston/toilet-repair/","city_service","toilet repair Houston Midtown Houston","Toilet Repair in Midtown Houston","intended pending verification"
"/service-areas/midtown-houston/running-toilet-repair/","city_service","running toilet repair Houston Midtown Houston","Running Toilet Repair in Midtown Houston","intended pending verification"
"/service-areas/midtown-houston/toilet-leak-repair/","city_service","toilet leak repair Houston Midtown Houston","Toilet Leak Repair in Midtown Houston","intended pending verification"
"/service-areas/midtown-houston/toilet-flange-repair/","city_service","toilet flange repair Houston Midtown Houston","Toilet Flange Repair in Midtown Houston","intended pending verification"
"/service-areas/midtown-houston/toilet-replacement-installation/","city_service","toilet installation Houston Midtown Houston","Toilet Replacement and Installation in Midtown Houston","intended pending verification"
"/service-areas/midtown-houston/commercial-toilet-repair/","city_service","commercial toilet repair Houston Midtown Houston","Commercial Toilet Repair in Midtown Houston","intended pending verification"
"/service-areas/montrose/","area","toilet repair Montrose","Toilet Repair Services in Montrose","intended pending verification"
"/service-areas/montrose/toilet-repair/","city_service","toilet repair Houston Montrose","Toilet Repair in Montrose","intended pending verification"
