"route","page_type","primary_keyword","h1","coverage_status"
"/","home","repiping services Greater Houston","Repiping Services in the Greater Houston Area","independent request site"
"/services/","directory","repiping services","Repiping Service Directory","independent request site"
"/services/whole-house-repiping/","service","whole house repiping","Whole House Repiping in Houston, TX","pre-launch"
"/services/pex-repiping/","service","PEX repiping","PEX Repiping in Houston, TX","pre-launch"
"/services/copper-repiping/","service","copper repiping","Copper Repiping in Houston, TX","pre-launch"
"/services/galvanized-pipe-replacement/","service","galvanized pipe replacement","Galvanized Pipe Replacement in Houston, TX","pre-launch"
"/services/polybutylene-pipe-replacement/","service","polybutylene pipe replacement","Polybutylene Pipe Replacement in Houston, TX","pre-launch"
"/services/multifamily-repiping/","service","multifamily repiping","Multifamily Repiping in Houston, TX","pre-launch"
"/service-areas/","directory","Greater Houston repiping service areas","Repiping Service Areas","intended pending verification"
"/service-areas/houston/","area","repiping Houston","Repiping Services in Houston","intended pending verification"
"/service-areas/houston/whole-house-repiping/","city_service","whole house repiping Houston","Whole House Repiping in Houston","intended pending verification"
"/service-areas/houston/pex-repiping/","city_service","PEX repiping Houston","PEX Repiping in Houston","intended pending verification"
"/service-areas/houston/copper-repiping/","city_service","copper repiping Houston","Copper Repiping in Houston","intended pending verification"
"/service-areas/houston/galvanized-pipe-replacement/","city_service","galvanized pipe replacement Houston","Galvanized Pipe Replacement in Houston","intended pending verification"
"/service-areas/houston/polybutylene-pipe-replacement/","city_service","polybutylene pipe replacement Houston","Polybutylene Pipe Replacement in Houston","intended pending verification"
"/service-areas/houston/multifamily-repiping/","city_service","multifamily repiping Houston","Multifamily Repiping in Houston","intended pending verification"
"/service-areas/downtown-houston/","area","repiping Downtown Houston","Repiping Services in Downtown Houston","intended pending verification"
"/service-areas/downtown-houston/whole-house-repiping/","city_service","whole house repiping Downtown Houston","Whole House Repiping in Downtown Houston","intended pending verification"
"/service-areas/downtown-houston/pex-repiping/","city_service","PEX repiping Downtown Houston","PEX Repiping in Downtown Houston","intended pending verification"
"/service-areas/downtown-houston/copper-repiping/","city_service","copper repiping Downtown Houston","Copper Repiping in Downtown Houston","intended pending verification"
"/service-areas/downtown-houston/galvanized-pipe-replacement/","city_service","galvanized pipe replacement Downtown Houston","Galvanized Pipe Replacement in Downtown Houston","intended pending verification"
"/service-areas/downtown-houston/polybutylene-pipe-replacement/","city_service","polybutylene pipe replacement Downtown Houston","Polybutylene Pipe Replacement in Downtown Houston","intended pending verification"
"/service-areas/downtown-houston/multifamily-repiping/","city_service","multifamily repiping Downtown Houston","Multifamily Repiping in Downtown Houston","intended pending verification"
"/service-areas/midtown-houston/","area","repiping Midtown Houston","Repiping Services in Midtown Houston","intended pending verification"
"/service-areas/midtown-houston/whole-house-repiping/","city_service","whole house repiping Midtown Houston","Whole House Repiping in Midtown Houston","intended pending verification"
"/service-areas/midtown-houston/pex-repiping/","city_service","PEX repiping Midtown Houston","PEX Repiping in Midtown Houston","intended pending verification"
"/service-areas/midtown-houston/copper-repiping/","city_service","copper repiping Midtown Houston","Copper Repiping in Midtown Houston","intended pending verification"
"/service-areas/midtown-houston/galvanized-pipe-replacement/","city_service","galvanized pipe replacement Midtown Houston","Galvanized Pipe Replacement in Midtown Houston","intended pending verification"
"/service-areas/midtown-houston/polybutylene-pipe-replacement/","city_service","polybutylene pipe replacement Midtown Houston","Polybutylene Pipe Replacement in Midtown Houston","intended pending verification"
"/service-areas/midtown-houston/multifamily-repiping/","city_service","multifamily repiping Midtown Houston","Multifamily Repiping in Midtown Houston","intended pending verification"
"/service-areas/montrose/","area","repiping Montrose","Repiping Services in Montrose","intended pending verification"
"/service-areas/montrose/whole-house-repiping/","city_service","whole house repiping Montrose","Whole House Repiping in Montrose","intended pending verification"
"/service-areas/montrose/pex-repiping/","city_service","PEX repiping Montrose","PEX Repiping in Montrose","intended pending verification"
"/service-areas/montrose/copper-repiping/","city_service","copper repiping Montrose","Copper Repiping in Montrose","intended pending verification"
"/service-areas/montrose/galvanized-pipe-replacement/","city_service","galvanized pipe replacement Montrose","Galvanized Pipe Replacement in Montrose","intended pending verification"
"/service-areas/montrose/polybutylene-pipe-replacement/","city_service","polybutylene pipe replacement Montrose","Polybutylene Pipe Replacement in Montrose","intended pending verification"
"/service-areas/montrose/multifamily-repiping/","city_service","multifamily repiping Montrose","Multifamily Repiping in Montrose","intended pending verification"
"/service-areas/houston-heights/","area","repiping Houston Heights","Repiping Services in Houston Heights","intended pending verification"
"/service-areas/houston-heights/whole-house-repiping/","city_service","whole house repiping Houston Heights","Whole House Repiping in Houston Heights","intended pending verification"
"/service-areas/houston-heights/pex-repiping/","city_service","PEX repiping Houston Heights","PEX Repiping in Houston Heights","intended pending verification"
"/service-areas/houston-heights/copper-repiping/","city_service","copper repiping Houston Heights","Copper Repiping in Houston Heights","intended pending verification"
"/service-areas/houston-heights/galvanized-pipe-replacement/","city_service","galvanized pipe replacement Houston Heights","Galvanized Pipe Replacement in Houston Heights","intended pending verification"
"/service-areas/houston-heights/polybutylene-pipe-replacement/","city_service","polybutylene pipe replacement Houston Heights","Polybutylene Pipe Replacement in Houston Heights","intended pending verification"
"/service-areas/houston-heights/multifamily-repiping/","city_service","multifamily repiping Houston Heights","Multifamily Repiping in Houston Heights","intended pending verification"
"/service-areas/river-oaks/","area","repiping River Oaks","Repiping Services in River Oaks","intended pending verification"
"/service-areas/river-oaks/whole-house-repiping/","city_service","whole house repiping River Oaks","Whole House Repiping in River Oaks","intended pending verification"
"/service-areas/river-oaks/pex-repiping/","city_service","PEX repiping River Oaks","PEX Repiping in River Oaks","intended pending verification"
"/service-areas/river-oaks/copper-repiping/","city_service","copper repiping River Oaks","Copper Repiping in River Oaks","intended pending verification"
"/service-areas/river-oaks/galvanized-pipe-replacement/","city_service","galvanized pipe replacement River Oaks","Galvanized Pipe Replacement in River Oaks","intended pending verification"
"/service-areas/river-oaks/polybutylene-pipe-replacement/","city_service","polybutylene pipe replacement River Oaks","Polybutylene Pipe Replacement in River Oaks","intended pending verification"
"/service-areas/river-oaks/multifamily-repiping/","city_service","multifamily repiping River Oaks","Multifamily Repiping in River Oaks","intended pending verification"
"/service-areas/west-university-place/","area","repiping West University Place","Repiping Services in West University Place","intended pending verification"
"/service-areas/west-university-place/whole-house-repiping/","city_service","whole house repiping West University Place","Whole House Repiping in West University Place","intended pending verification"
"/service-areas/west-university-place/pex-repiping/","city_service","PEX repiping West University Place","PEX Repiping in West University Place","intended pending verification"
"/service-areas/west-university-place/copper-repiping/","city_service","copper repiping West University Place","Copper Repiping in West University Place","intended pending verification"
"/service-areas/west-university-place/galvanized-pipe-replacement/","city_service","galvanized pipe replacement West University Place","Galvanized Pipe Replacement in West University Place","intended pending verification"
"/service-areas/west-university-place/polybutylene-pipe-replacement/","city_service","polybutylene pipe replacement West University Place","Polybutylene Pipe Replacement in West University Place","intended pending verification"
"/service-areas/west-university-place/multifamily-repiping/","city_service","multifamily repiping West University Place","Multifamily Repiping in West University Place","intended pending verification"
"/service-areas/bellaire/","area","repiping Bellaire","Repiping Services in Bellaire","intended pending verification"
"/service-areas/bellaire/whole-house-repiping/","city_service","whole house repiping Bellaire","Whole House Repiping in Bellaire","intended pending verification"
"/service-areas/bellaire/pex-repiping/","city_service","PEX repiping Bellaire","PEX Repiping in Bellaire","intended pending verification"
"/service-areas/bellaire/copper-repiping/","city_service","copper repiping Bellaire","Copper Repiping in Bellaire","intended pending verification"
"/service-areas/bellaire/galvanized-pipe-replacement/","city_service","galvanized pipe replacement Bellaire","Galvanized Pipe Replacement in Bellaire","intended pending verification"
"/service-areas/bellaire/polybutylene-pipe-replacement/","city_service","polybutylene pipe replacement Bellaire","Polybutylene Pipe Replacement in Bellaire","intended pending verification"
"/service-areas/bellaire/multifamily-repiping/","city_service","multifamily repiping Bellaire","Multifamily Repiping in Bellaire","intended pending verification"
"/service-areas/memorial/","area","repiping Memorial","Repiping Services in Memorial","intended pending verification"
"/service-areas/memorial/whole-house-repiping/","city_service","whole house repiping Memorial","Whole House Repiping in Memorial","intended pending verification"
"/service-areas/memorial/pex-repiping/","city_service","PEX repiping Memorial","PEX Repiping in Memorial","intended pending verification"
"/service-areas/memorial/copper-repiping/","city_service","copper repiping Memorial","Copper Repiping in Memorial","intended pending verification"
"/service-areas/memorial/galvanized-pipe-replacement/","city_service","galvanized pipe replacement Memorial","Galvanized Pipe Replacement in Memorial","intended pending verification"
"/service-areas/memorial/polybutylene-pipe-replacement/","city_service","polybutylene pipe replacement Memorial","Polybutylene Pipe Replacement in Memorial","intended pending verification"
