route,type,primary_keyword,title_and_h1
"/","Home","hydro jetting","Hydro Jetting Services in the Greater Houston Area"
"/services/","Directory","hydro jetting services","Hydro Jetting Services"
"/services/hydro-jetting/","Service","hydro jetting","Hydro Jetting"
"/services/residential-hydro-jetting/","Service","residential hydro jetting","Residential Hydro Jetting"
"/services/commercial-hydro-jetting/","Service","commercial hydro jetting","Commercial Hydro Jetting"
"/services/sewer-line-hydro-jetting/","Service","sewer line hydro jetting","Sewer Line Hydro Jetting"
"/services/kitchen-line-hydro-jetting/","Service","kitchen line hydro jetting","Kitchen Line Hydro Jetting"
"/services/grease-removal-hydro-jetting/","Service","grease removal hydro jetting","Grease Removal Hydro Jetting"
"/services/root-intrusion-hydro-jetting/","Service","root intrusion hydro jetting","Root Intrusion Hydro Jetting"
"/services/scale-removal-hydro-jetting/","Service","drain scale removal hydro jetting","Drain Scale Removal Hydro Jetting"
"/services/camera-inspection-for-hydro-jetting/","Service","pre-jetting camera inspection","Pre-Jetting Camera Inspection"
"/services/post-jetting-camera-inspection/","Service","post-jetting camera inspection","Post-Jetting Camera Inspection"
"/services/preventive-hydro-jetting/","Service","preventive hydro jetting maintenance","Preventive Hydro Jetting Maintenance"
"/services/storm-drain-hydro-jetting/","Service","storm drain hydro jetting","Storm Drain Hydro Jetting"
"/services/large-diameter-line-jetting/","Service","large-diameter line jetting","Large-Diameter Line Jetting"
"/service-areas/","Directory","hydro jetting service areas Greater Houston","Hydro Jetting Service Areas in Greater Houston"
"/service-areas/houston/","Area","hydro jetting Houston TX","Hydro Jetting in Houston, TX"
"/service-areas/downtown-houston/","Area","hydro jetting Downtown Houston TX","Hydro Jetting in Downtown Houston, TX"
"/service-areas/midtown-houston/","Area","hydro jetting Midtown Houston TX","Hydro Jetting in Midtown Houston, TX"
"/service-areas/montrose/","Area","hydro jetting Montrose TX","Hydro Jetting in Montrose, TX"
"/service-areas/houston-heights/","Area","hydro jetting Houston Heights TX","Hydro Jetting in Houston Heights, TX"
"/service-areas/river-oaks/","Area","hydro jetting River Oaks TX","Hydro Jetting in River Oaks, TX"
