route,type,primary_keyword,title_and_h1
"/","Home","Plumbing services","Plumbing Services in the Greater Houston Area"
"/services/","Directory","Plumbing services Houston","Plumbing Services in Houston, TX"
"/services/emergency-plumber/","Service","emergency plumber Houston","Emergency Plumber in Houston, TX"
"/services/burst-pipe-repair/","Service","burst pipe repair Houston","Burst Pipe Repair in Houston, TX"
"/services/water-leak-detection/","Service","water leak detection Houston","Water Leak Detection in Houston, TX"
"/services/pipe-repair/","Service","pipe repair Houston","Pipe Repair in Houston, TX"
"/services/frozen-pipe-repair/","Service","frozen pipe repair Houston","Frozen Pipe Repair in Houston, TX"
"/services/sewer-backup-cleanup/","Service","sewer backup plumbing Houston","Sewer Backup Plumbing in Houston, TX"
"/services/water-damage-plumbing/","Service","water damage plumbing repair Houston","Water Damage Plumbing Repair in Houston, TX"
"/services/drain-cleaning/","Service","drain cleaning Houston","Drain Cleaning in Houston, TX"
"/services/main-sewer-line-cleaning/","Service","main sewer line cleaning Houston","Main Sewer Line Cleaning in Houston, TX"
"/services/hydro-jetting/","Service","hydro jetting Houston","Hydro Jetting in Houston, TX"
"/services/sewer-camera-inspection/","Service","sewer camera inspection Houston","Sewer Camera Inspection in Houston, TX"
"/services/sewer-line-repair/","Service","sewer line repair Houston","Sewer Line Repair in Houston, TX"
"/services/trenchless-sewer-repair/","Service","trenchless sewer repair Houston","Trenchless Sewer Repair in Houston, TX"
"/services/root-intrusion-removal/","Service","sewer root removal Houston","Sewer Root Removal in Houston, TX"
"/services/sewer-cleanout-installation/","Service","sewer cleanout installation Houston","Sewer Cleanout Installation in Houston, TX"
"/services/floor-drain-repair/","Service","floor drain repair Houston","Floor Drain Repair in Houston, TX"
"/services/sewer-odor-diagnosis/","Service","sewer odor diagnosis Houston","Sewer Odor Diagnosis in Houston, TX"
"/services/toilet-repair/","Service","toilet repair Houston","Toilet Repair in Houston, TX"
"/services/toilet-installation/","Service","toilet installation Houston","Toilet Installation in Houston, TX"
"/services/faucet-repair-installation/","Service","faucet repair and installation Houston","Faucet Repair and Installation in Houston, TX"
"/services/sink-repair-installation/","Service","sink repair and installation Houston","Sink Repair and Installation in Houston, TX"
"/services/shower-tub-plumbing/","Service","shower and tub plumbing Houston","Shower and Tub Plumbing in Houston, TX"
"/services/garbage-disposal-repair/","Service","garbage disposal repair and installation Houston","Garbage Disposal Repair and Installation in Houston, TX"
"/services/kitchen-plumbing/","Service","kitchen plumbing Houston","Kitchen Plumbing in Houston, TX"
"/services/bathroom-plumbing/","Service","bathroom plumbing Houston","Bathroom Plumbing in Houston, TX"
"/services/plumbing-fixture-installation/","Service","plumbing fixture installation Houston","Plumbing Fixture Installation in Houston, TX"
"/services/water-heater-repair/","Service","water heater repair Houston","Water Heater Repair in Houston, TX"
"/services/water-heater-installation/","Service","water heater installation Houston","Water Heater Installation in Houston, TX"
"/services/tankless-water-heater/","Service","tankless water heater installation Houston","Tankless Water Heater Installation in Houston, TX"
"/services/hot-water-recirculation/","Service","hot water recirculation system Houston","Hot Water Recirculation System in Houston, TX"
"/services/whole-house-repiping/","Service","whole house repiping Houston","Whole House Repiping in Houston, TX"
"/services/slab-leak-repair/","Service","slab leak repair Houston","Slab Leak Repair in Houston, TX"
"/services/water-pressure-repair/","Service","water pressure repair Houston","Water Pressure Repair in Houston, TX"
"/services/pressure-regulator-replacement/","Service","water pressure regulator replacement Houston","Water Pressure Regulator Replacement in Houston, TX"
"/services/backflow-testing-repair/","Service","backflow testing and repair Houston","Backflow Testing and Repair in Houston, TX"
"/services/water-filtration-system/","Service","water filtration system installation Houston","Water Filtration System Installation in Houston, TX"
"/services/water-softener-installation/","Service","water softener installation Houston","Water Softener Installation in Houston, TX"
"/services/reverse-osmosis-system/","Service","reverse osmosis system installation Houston","Reverse Osmosis System Installation in Houston, TX"
"/services/drinking-water-faucet/","Service","drinking water faucet installation Houston","Drinking Water Faucet Installation in Houston, TX"
"/services/gas-line-repair/","Service","gas line repair Houston","Gas Line Repair in Houston, TX"
